Timestamp,Kategori Anda,Kategori Umur Anda,CaRek Pilihan,Alasan Memilih CaRek,Harapan Anda
9/1/2019 14:35:44,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,
9/1/2019 14:44:41,Dosen,> 40 th,Acep Purqon (FMIPA-FI),"Keberhasilan dan prestasi Muda dan berenergi Program ybs utk peningkatan income dan kesejahteraan dosen / pegawai Emansipasi, kesetaraan dan kebhinekaan Akhlak dan budi pekerti Sesuai dengan kriteria kekinian (Rektor 4.0) Kapabilitas ybs utk meningkatkan ranking ITB Kapabilitas ybs utk memajukan riset dan industri RI Kecerdasan dan keberanian utk kemajuan ITB Karakter kepemimpinan dan leadership Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri","Semoga terpilih dan tetap membumi, bahkan setelah nanti terpilih tidak berubah 180 derajat ... Tetap menjadi Pak Acep yang saya kenal di facebook, dan bukan menjadi Pak Professor Acep yang tidak dikenal ...salaam dari BiNus University "
9/1/2019 14:47:11,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Semoga terpilihnya carek dukungan saya ini bisa menjadi role model kriteria rektor universitas di Indonesia masa mendatang
9/1/2019 14:48:17,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Make ITB Great Again
9/1/2019 14:50:15,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),"Semoga kalau sudah terpilih Rektor definitif ITB, ITB semakin humanis dan berdaya guna"
9/1/2019 14:50:17,Alumni,25 - 40 th,Mikrajuddin Abdullah (FMIPA-FI),Keberhasilan dan prestasi,Agar penelitian di Indonesia khususnya ITB semakin gencar
9/1/2019 14:51:12,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Itb menjadi penggerak kmajuan manusia bukan kmajuan benda
9/1/2019 14:53:31,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,ITB bisa masuk ranking perguruan tinggi dunia
9/1/2019 15:01:05,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,
9/1/2019 15:01:44,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Akhlak dan budi pekerti,
9/1/2019 15:02:24,Dosen,25 - 40 th,Acep Purqon (FMIPA-FI),Kapabilitas ybs utk memajukan riset dan industri RI,
9/1/2019 15:06:17,Mahasiswa,25 - 40 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,
9/1/2019 15:06:32,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",ITB menjadi kampus pencetak generasi unggul dalam bidang teknologi.
9/1/2019 15:08:39,Alumni,25 - 40 th,Mikrajuddin Abdullah (FMIPA-FI),Kapabilitas ybs utk memajukan riset dan industri RI,"Untuk Tuhan, Bangsa dan Almamater tercinta."
9/1/2019 15:09:29,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Kapabilitas ybs utk memajukan riset dan industri RI,ITB dapat berkolaboradi dengan kampus swasta di kawasan cempaka putih
9/1/2019 15:10:34,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Semoga bisa menumbuhkan kolaborasi di  ITB
9/1/2019 15:10:56,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,"Itb dapat memberikan kontribusi kepada alumni, bangsa dan negara"
9/1/2019 15:11:57,Dosen,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),"semoga amanah, fathonah, berenergi dan bermanfaat bagi semua"
9/1/2019 15:16:41,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Berharap Pak Acep Furqon bisa membawa ITB menjadi terdepan dalam segala bidang
9/1/2019 15:17:57,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",Semoga ITB semakin diperhitungkan di mata dunia
9/1/2019 15:18:23,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,
9/1/2019 15:20:21,Dosen,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
9/1/2019 15:20:37,Dosen,25 - 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,Semoga yang menjadi rektor ITB adalah yang muda dan berenergi dengan prestasi yang tak kalah dengan yang tua GANBATTE KUDASAI PROF ACEP :)
9/1/2019 15:20:46,Umum,> 40 th,Acep Purqon (FMIPA-FI),Kecerdasan dan keberanian utk kemajuan ITB,
9/1/2019 15:23:08,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),"Karena tidak bisa multiple, saya pilih other.. dengan alasan semua pilihan diatas...Terima kasih",ITB dan Indonesia lebih berkibarrrr
9/1/2019 15:25:54,Alumni,> 40 th,Acep Purqon (FMIPA-FI),"Berakhlak mulia, pretasi n semangat tinggi",Semoga bisa membawa ITB semakin unggul dan berkualitas 
9/1/2019 15:26:09,Umum,25 - 40 th,Suhono Harso Supangkat (STEI),Kecerdasan dan keberanian utk kemajuan ITB,Suhono Harso Supangkat
9/1/2019 15:27:34,Umum,> 40 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",
9/1/2019 15:27:40,Dosen,25 - 40 th,Acep Purqon (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,"Semoga jika pak Acep menjadi rektor, ITB semakin maju dan dapat bersaing dikancah internasional, serta bermanfaat untuk RI. "
9/1/2019 15:27:55,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),Kapabilitas ybs utk memajukan riset dan industri RI,
9/1/2019 15:28:25,Umum,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
9/1/2019 15:29:22,Umum,> 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,Acep purqon bisa terpilih
9/1/2019 15:30:26,Alumni,< 25 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
9/1/2019 15:35:30,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Menjadi rektor terpilih
9/1/2019 15:35:47,Mahasiswa,25 - 40 th,Acep Purqon (FMIPA-FI),Kapabilitas ybs utk meningkatkan ranking ITB,meningkatkan ranking ITB
9/1/2019 15:37:43,Umum,> 40 th,Acep Purqon (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Membawa ITB menjadi PT dengan peringkat yang lebih baik di dunia
9/1/2019 15:38:18,Mahasiswa,< 25 th,Edy Tri Baskoro (FMIPA-MA),Keberhasilan dan prestasi,Semoga dapat menjadi ITB internasional
9/1/2019 15:38:40,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Mampu membawa ITB menjadi ranking 100 besar dunia.
9/1/2019 15:42:01,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",ITB lebih terdepan dalam memajukan Indonesia dan mensejahterakan rakyat Indonesia
9/1/2019 15:42:17,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,Semoga beliau diberikan kesempatan untuk menjadi rektor ITB
9/1/2019 15:44:38,Alumni,> 40 th,Benyamin Sapiie (FITB),Keberhasilan dan prestasi,Prof Benyamin Safeii bisa memajukan ITB
9/1/2019 15:46:21,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,
9/1/2019 15:51:02,Alumni,> 40 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",
